Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
8/14/2020,20:18:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,WATKINS MILL ROAD @ CLUB LAKE ROAD,39.17587833,-77.21010667,No,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2012,FORD,ESCAPE,"GREEN, LGT",Citation,21-502(a2),Transportation Article,FALSE,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1758783333333, -77.2101066666667)"
8/13/2019,11:27:00,MCP,"3rd District, Silver Spring",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,GEORGIA AVE @ COLESVILLE RD,38.99709833,-77.02742667,No,No,No,No,No,No,No,No,No,No,PA,02 - Automobile,2019,NISSAN,SENTRA,RED,Warning,21-502(a2),Transportation Article,FALSE,HISPANIC,F,PEACH BOTTOM,PA,PA,A - Marked Patrol,"(38.9970983333333, -77.0274266666667)"
4/13/2012,13:44:00,MCP,"3rd District, Silver Spring",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALKNOT CONTRIBUTING TO ACCIDENT,LOCKWOOD DRIVE/NEW HAMPSHIRE AVENUE,0,0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,HONDA,ACCORD,GREEN,Warning,21-502(a2),Transportation Article,FALSE,BLACK,F,SILVER SPRING,MD,VA,A - Marked Patrol,"(0.0, 0.0)"
8/15/2020,16:00:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVER FAIL TO YIELD INTERSECTION RIGHT-OF-WAY TO BICYCLE AFTER TURN ON RED,OMEGA DR @ KEY WEST AVE,39.10555333,-77.19715667,No,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2009,TOYT,COROLLA,SILVER,Warning,21-202(k),Transportation Article,FALSE,WHITE,F,NORTH POTOMAC,MD,MD,A - Marked Patrol,"(39.1055533333333, -77.1971566666667)"
8/22/2020,2:03:00,MCP,Headquarters and Special Operations,DRIVER FAIL TO YIELD INTERSECTION RIGHT-OF-WAY TO PEDESTRIAN AFTER TURN ON RED,COLESVILLE RD / GEORGIA AVE,39.04528167,-76.99099667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,BMW,428I,SILVER,Citation,21-202(k),Transportation Article,FALSE,BLACK,M,HOUSTON,TX,TX,A - Marked Patrol,"(39.0452816666667, -76.9909966666667)"
4/26/2019,23:51:00,MCP,Headquarters and Special Operations,DRIVER PASSING VEH. STOPPED FOR PEDESTRIAN AT CROSSWALK,8811 COLESVILLE RD,39.00460333,-77.02358167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,LEXUS,4D,WHITE,Warning,21-502(c),Transportation Article,FALSE,BLACK,M,GLENN DALE,MD,MD,A - Marked Patrol,"(39.0046033333333, -77.0235816666667)"
8/20/2020,11:25:00,MCP,"4th District, Wheaton",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,GEORGIA AVE / SHOREFIELD RD,39.05288667,-77.05112,Yes,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,TOYOTA,YARIS,"BLUE, DARK",Citation,21-502(a2),Transportation Article,TRUE,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0528866666667, -77.05112)"
12/14/2019,10:00:00,MCP,"4th District, Wheaton",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,GEORGIA AVE / PLYERS MILL RD,39.030183,-77.04761633,No,No,No,No,No,No,No,No,No,No,VA,05 - Light Duty Truck,2015,FORD,TRANSIT 150,WHITE,Citation,21-502(a2),Transportation Article,FALSE,WHITE,M,ALEXANDRIA,VA,VA,A - Marked Patrol,"(39.030183, -77.0476163333333)"
12/14/2019,10:00:00,MCP,"4th District, Wheaton",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,GEORGIA AVE / PLYERS MILL RD,39.030183,-77.04761633,No,No,No,No,No,No,No,No,No,No,VA,05 - Light Duty Truck,2015,FORD,TRANSIT 150,WHITE,Citation,21-502(a2),Transportation Article,FALSE,WHITE,M,ALEXANDRIA,VA,VA,A - Marked Patrol,"(39.030183, -77.0476163333333)"
7/23/2019,8:55:00,MCP,"4th District, Wheaton",FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER CONDITIONS,WB VEIRS MILL RD AT ANDREW ST.,39.05116167,-77.07333167,Yes,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2015,FORD,FOCUS,BLACK,Warning,21-801(h),Transportation Article,TRUE,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0511616666667, -77.0733316666667)"
12/13/2019,20:59:00,MCP,"3rd District, Silver Spring",FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER,11700 BLK GREAT SENECA HWY,39.13760833,-77.25716167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,SUBU,TK,SILVER,Citation,21-801(h),Transportation Article,FALSE,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1376083333333, -77.2571616666667)"
12/14/2019,7:37:00,MCP,"4th District, Wheaton",FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER CONDITIONS-RAIN,NB GEORGIA AVE S/O ARCOLA AVE,0,0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,ACURA,TL 4D,SILVER,Warning,21-801(h),Transportation Article,FALSE,BLACK,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,"(0.0, 0.0)"
12/14/2019,16:30:00,MCP,"6th District, Gaithersburg / Montgomery Village","FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER, HIGHWAY CONDITIONS",220 PERRY PKWY.,39.14560833,-77.22395,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HOND,ACCORD,"BLUE, DARK",Warning,21-801(h),Transportation Article,FALSE,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1456083333333, -77.22395)"
12/13/2019,23:41:00,MCP,"1st District, Rockville",FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER CONDITIONS,DARNESTOWN RD/TURKEY FOOT RD,39.10844167,-77.28111333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,BMW,SUV,WHITE,Warning,21-801(h),Transportation Article,FALSE,WHITE,M,DARNESTOWN,MD,MD,A - Marked Patrol,"(39.1084416666667, -77.2811133333333)"
12/13/2019,23:34:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,CONTOUR RD @ TUNSTALL,39.15325833,-77.19633167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,HYUN,2H,WHITE,Warning,21-502(a2),Transportation Article,FALSE,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1532583333333, -77.1963316666667)"
12/13/2019,0:37:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVER FAIL TO YIELD INTERSECTION RIGHT-OF-WAY TO VEH. AFTER TURN ON RED,SHADY GROVE RD / EPSILON,39.13249,-77.15981,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,BMW,328I,"BLUE, DARK",Warning,21-202(k),Transportation Article,FALSE,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.13249, -77.15981)"
7/21/2019,9:14:00,MCP,"4th District, Wheaton",DRIVER FAILURE TO EXERCISE DUE CARE TO AVOID PEDESTRIAN COLLISION,VEIRS MILL RD / RANDOLPH RD,39.05589167,-77.08189167,No,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2011,VOLK,SUV,SILVER,Warning,21-504(a),Transportation Article,FALSE,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,"(39.0558916666667, -77.0818916666667)"
7/26/2019,17:00:00,MCP,"3rd District, Silver Spring",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,SECOND AVE/ CAMERON ST,38.99516167,-77.02674333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,ACURA,TSX,RED,Citation,21-502(a2),Transportation Article,FALSE,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9951616666667, -77.0267433333333)"
5/8/2019,17:38:00,MCP,"3rd District, Silver Spring",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,BRIGGS CHANEY ROAD AND ROBEY ROAD,39.07982167,-76.94554333,No,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2018,HONDA,CRV,RED,Citation,21-502(a2),Transportation Article,FALSE,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0798216666667, -76.9455433333333)"
7/6/2019,13:54:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVER FAIL TO YIELD INTERSECTION RIGHT-OF-WAY TO VEH. AFTER TURN ON RED,WASHINGTONIAN BLVD @ FIELDS RD,39.11222667,-77.19491167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,CHRYS,200,BLACK,Warning,21-202(k),Transportation Article,FALSE,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1122266666667, -77.1949116666667)"
8/14/2019,22:00:00,MCP,"6th District, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,FIRST FIELD RD/ CLOPPER RD,39.14499833,-77.22563833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,GMC,ENVOY,WHITE,Citation,21-502(a2),Transportation Article,FALSE,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1449983333333, -77.2256383333333)"
